    1.19     6.36   262.90 
    1.04     5.68   272.10 
    0.89     5.24   281.10 
    0.81     5.48   267.50 
    0.68     5.92   273.70 
    0.71     5.94   288.40 
    0.60     6.49   295.50 
    0.59     5.82   333.90 
    0.53     5.87   324.20 
    0.57     5.63   336.20 
    0.50     7.21   325.20 
    0.55     7.33   328.20 
    0.47     5.69   329.00 
    0.36     5.06   320.00 
    0.36     5.44   314.00 
    0.45     5.99   330.20 
    0.46     5.27   337.20 
    0.33     4.84   324.20 
    0.32     4.84   321.20 
    0.40     5.75   328.20 
    0.44     5.15   348.20 
    0.33     4.55   339.20 
    0.23     5.10   323.20 
    0.26     5.33   331.90 
    0.29     4.85   344.90 
    0.34     4.64   323.20 
    0.24     4.00   328.90 
    0.28     4.97   331.90 
    0.32     4.72   340.20 
    0.43     4.43   325.20 
    0.55     5.15   329.20 
    0.62     6.69   326.60 
    0.85     7.33   316.50 
    0.93     7.08   314.30 
    1.18     7.60   312.70 
    1.44     8.05   319.90 
    1.53     9.40   315.70 
    1.47     9.14   311.70 
    1.61     9.60   319.80 
    1.33     9.67   314.70 
    1.35     8.17   315.90 
    1.70     8.91   311.70 
    1.35     9.29   315.90 
    1.13     8.71   318.90 
    1.08     7.45   312.90 
    1.34     8.63   312.50 
    1.18     8.37   316.50 
    1.03     8.44   321.80 
    0.99     7.48   320.80 
    0.91     6.99   320.80 
    0.73     6.74   314.80 
    0.72     7.84   321.90 
    0.67     7.71   319.90 
    0.61     6.79   320.90 
    0.54     6.42   316.10 
    0.53     6.45   316.65 
    0.52     6.47   317.20 
    0.46     5.27   321.20 
    0.36     5.16   316.70 
    0.33     5.22   315.20 
    0.39     5.53   323.70 
    0.34     4.79   322.70 
    0.30     4.60   306.20 
    0.44     5.22   312.20 
    0.63     6.26   311.70 
    0.60     5.65   310.70 
    0.66     5.93   315.60 
    0.81     7.33   313.50 
    0.86     7.70   318.60 
    0.79     7.07   315.60 
    0.64     6.18   313.60 
    0.58     6.51   312.70 
    0.63     7.71   316.90 
    0.57     6.67   315.10 
    0.67     6.67   317.80 
    0.46     6.67   313.10 
    0.51     6.92   318.80 
    0.47     6.29   318.80 
    0.47     6.90   319.20 
    0.44     7.17   320.20 
    0.31     6.06   311.90 
    0.32     6.50   314.20 
    0.37     6.19   312.80 
    0.49     5.43   296.50 
    0.47     5.30   288.50 
    0.39     4.98   283.30 
    0.46     4.69   256.30 
    0.45     4.71   241.70 
    0.47     4.31   251.30 
    0.34     4.73   267.30 
    0.30     5.46   276.30 
    0.25     5.64   281.10 
    0.27     4.37   280.30 
    0.20     4.73   290.10 
    0.22     4.25   283.30 
    0.28     4.37   245.70 
    0.29     4.44   274.20 
    0.25     5.12   286.10 
    0.21     6.45   312.40 
    0.55     6.43   288.40 
    0.43     7.24   313.80 
    0.40     5.77   308.60 
    0.42     6.26   305.60 
    0.51     7.98   307.60 
    0.52     7.37   317.80 
    0.37     6.71   317.80 
    0.32     6.98   314.80 
    0.42     9.58   310.60 
    0.34     9.61   316.80 
    0.24     8.55   325.90 
    0.20     8.04   320.90 
    0.25     6.25   312.20 
    0.18     4.34   339.70 
    0.23     5.70   298.90 
    0.36     5.28   299.60 
    0.31     6.49   310.10 
    0.32     8.16   313.80 
    0.30     7.77   314.80 
    0.19     7.15   323.90 
    0.19     6.64   318.90 
    0.24     6.00   316.90 
    0.39     6.63   290.50 
    0.23     5.97   310.10 
    0.38     5.91   289.10 
    0.26     7.13   308.10 
    0.26     6.23   308.10 
    0.14     5.36   318.90 
    0.24     4.67   302.60 
    0.26     5.16   301.60 
    0.51     4.79   282.70 
    0.59     4.34   268.50 
    0.64     4.74   250.80 
    0.79     5.34   247.00 
    0.72     4.93   243.20 
    0.75     4.32   243.20 
    0.97     4.93   237.20 
    1.06     5.94   248.00 
    0.96     5.94   249.00 
    0.81     4.75   244.40 
    0.51     4.62   247.40 
    0.46     5.40   244.80 
    0.44     5.01   245.80 
    0.47     4.01   256.70 
    0.42     3.53   241.40 
    0.58     4.99   247.40 
    0.54     4.62   247.40 
    0.64     4.01   240.40 
    0.68     4.58   238.70 
    0.76     5.42   239.20 
    0.84     5.46   245.00 
    0.92     5.02   245.30 
    0.80     4.50   246.40 
    0.67     4.99   243.40 
    0.71     4.99   239.40 
    0.69     4.38   245.40 
    0.50     4.88   246.80 
    0.50     5.14   250.80 
    0.46     5.20   256.30 
    0.47     4.52   258.30 
    0.30     4.11   261.30 
    0.30     4.35   266.30 
    0.26     4.77   256.30 
    0.25     4.61   281.30 
    0.21     4.99   286.10 
    0.19     5.38   282.10 
    0.24     5.34   279.30 
    0.32     4.37   275.30 
    0.29     4.33   288.10 
    0.35     3.93   297.60 
    0.37     4.47   294.70 
    0.41     4.54   308.60 
    0.52     4.91   310.60 
    0.34     4.87   314.80 
    0.51     4.87   313.80 
    0.56     5.29   318.80 
    0.72     7.05   300.10 
    0.71     7.81   310.10 
    0.68     7.05   314.80 
    0.64     7.58   308.90 
    0.61     7.55   315.80 
    0.56     7.93   317.10 
    0.51     6.80   318.80 
    0.50     7.18   315.80 
    0.51     7.93   313.80 
    0.45     7.96   322.20 
    0.42     7.27   321.90 
    0.37     6.30   323.90 
    0.30     5.35   322.20 
    0.34     5.21   333.90 
    0.32     4.60   340.30 
    0.26     4.21   347.10 
    0.06     1.95   324.40 
    0.13     2.36   319.10 
    0.11     2.36   320.10 
    0.01     2.89   350.70 
    0.00     3.90   236.10 
    0.18     2.86   248.10 
    0.42     3.89   258.30 
    0.50     4.26   248.40 
    0.76     4.73   247.00 
    0.77     4.49   246.00 
    0.80     4.73   243.00 
    0.77     5.34   245.00 
    0.78     5.58   247.00 
    0.81     4.85   243.00 
    0.86     4.97   248.00 
    0.87     5.22   250.30 
    0.85     5.74   252.30 
    0.79     5.18   257.70 
    0.66     4.83   254.30 
